Features,FwdStepVals,LasBVals,LasSVals,RidgeVals,rFVals,gBVals
OverallQual,0.08417741349518025,0.0918464768105617,0.073437115556617,0.06330657393771415,0.2788894123531697,0.3083225176411219
GrLivArea,0.13922494305041114,0.11812157957698166,0.038409347467323,0.05886903234273114,0.12662754203334356,0.19526907013935194
Neighborhood,0.0341777065226399,0.04484528859229897,0.030695309512493,0.032330234743864567,0.11331460111213947,0.13843718218965287
BsmtFinSF1,0.03556467617675694,0.031229613940650332,0.057791866771526,0.029325796179429,0.021109770062976856,0.02911778133663802
CentralAir,0.010093868442741075,0.011868219994280522,0.009503492218917,0.010783556121682468,0.0069744976135442255,0.017315079710539114
GarageCars,0.03458264590531182,0.019222284750592917,0.017419117216446,0.01685717220606471,0.028939065068548313,0.02295395578889358
SaleCondition,0.030189166154717874,0.01402852371323561,0.033850455486995,0.02547204486292165,0.0026112086831279677,0.005923759564855881
OverallCond,0.0530045657232566,0.015436467430742251,0.045926536533945,0.03926311346176254,0.0073287054226951346,0.013483750521527341
TotalBsmtSF,0.04095610861494524,0.03874869145720887,0.00696394344038,0.03090632129083834,0.03371368931467904,0.03798559547723686
YearBuilt,0.04085137320756813,0.011043376082616154,0.033078857286807,0.01752704701170985,0.03650398569974343,0.009719156964167724
MSZoning,0.03017044044139041,0.022618227318415562,0.029832533525036,0.027362021586155194,0.004047449586351109,0.007709031284013939
LotArea,0.01899805075676981,0.005655977983748015,0.016756744142121,0.01547036181417268,0.012585207208705259,0.014099792563660474
BldgType,0.015268100070163876,9.316656562750246e-05,0.006876395500171,0.00670034827126226,0.0007194892636065804,3.9834829191339084e-05
BsmtExposure,0.017246713580489913,0.008783548087613339,0.014630512597755,0.013560793938014884,0.0019110709727026523,0.003831856666377635
Condition1,0.016970879907945557,0.001665585821174101,0.017903124302498,0.016131382934917043,0.0011560105608762002,0.002411802324562985
HeatingQC,0.014373846416619632,0.006494098100528099,0.012389833687859,0.01237591498430898,0.001834821878551935,0.0013290067339415423
FireplaceQu,0.019628962054419722,0.002089625819996542,0.006675644254786,0.009395095045110274,0.01250686297005197,0.010613727067546307
Foundation,0.01768993174203822,0.0,0.015950399154631,0.014300497735713522,0.001138669243560984,0.00027604460066942384
BsmtFullBath,0.013946051116925809,0.0,0.008681428077236,0.009861828486656428,0.0018744566124360073,0.002983719958338379
GarageQual,0.011902777485154312,0.0017580612907028188,0.009852947123192,0.007935275855902285,0.0028619219692998872,0.0017680522590036208
GarageArea,,0.017585631925799122,0.012274942197297,0.015217948960424367,0.04033062715293683,0.03154424945149094
YearRemodAdd,,0.016048979736507544,0.008332535314883,0.010619053821377204,0.008092315526520477,0.010229872960885525
KitchenQual,,0.015968088845125596,0.011260003446719,0.014699830658150554,0.032918340490738315,0.026002941815721343
Fireplaces,,0.013552702218607396,0.012110882345228,0.013777407083446859,0.008290953670102772,0.0035497264671076074
GarageFinish,,0.013529842437906723,0.000930433242278,0.0027675098505593712,0.008138403677023042,0.022438880079580555
BsmtQual,,0.004445484680680226,0.007742764245018,0.00968798997956388,0.015862660827423283,0.008396990879566099
Functional,,0.003261212102805606,0.022322156881278,0.020037108637708922,0.0011339541337375095,0.002729849401566329
BsmtFinType1,,0.0007612975282003208,0.003269620833586,0.00611730703850442,0.004042729285930058,0.003562455077548559
WoodDeckSF,,0.00029560740442203533,0.00907098614099,0.009114814018084162,0.002810812978542889,0.0015683310166594872
Street,,0.0,0.001583245168388,0.0021549003695979594,1.7188648805019847e-05,0.0
ExterQual,,0.0,0.008570206187059,0.012313965011201803,0.05863743816460994,0.0001338758895346682
LotFrontage,,0.0,0.004243637489629,0.005776059768291993,0.006126595719611989,0.002186123024632192
ExterCond,,0.0,0.006959012540512,0.005403388158846494,0.0010904475652605662,0.0002515592775710678
MasVnrType,,0.0,0.00415226188808,0.003788856268027388,0.0008796718250012378,0.00013969192880112905
MasVnrArea,,0.0,0.000142778167643,0.0029724843552734804,0.002935653050127022,0.0005361057584478253
LotShape,,0.0,0.000240027896441,0.00120597557107242,0.001306564659103818,4.834064820428191e-05
Exterior2nd,,0.0,0.015324209411145,0.006436500614638771,0.0025643915158898296,0.0008739019962875399
Exterior1st,,0.0,0.020640073172505,0.012597193929296526,0.002886067868819382,0.002404430180533088
Condition2,,0.0,0.005901612875703,0.0045594631274885,5.1796359964995796e-05,3.804034919740579e-05
RoofMatl,,0.0,0.001949303828261,0.0035992414143927822,0.00022360941522530666,0.00047474455747045313
RoofStyle,,0.0,0.001509064087178,0.0028418106174627968,0.0008018926028612371,0.00011997431187469523
LandContour,,0.0,0.002056350963649,0.0016756028233470073,0.000814299062951295,0.0006244487767349692
Utilities,,0.0,0.007321668897097,0.006994701513951881,8.684137950107678e-06,7.997611288795569e-05
LotConfig,,0.0,0.009437173849121,0.009503386435735627,0.0009277142199760477,0.0007027256544496128
LandSlope,,0.0,0.00314607805553,0.001461174148144156,0.0004343475194532172,0.0006200508930230993
BsmtCond,,0.0,0.006110540339335,0.005579435179415481,0.0018609092972207287,0.0009823253401249718
HouseStyle,,0.0,0.00539553045342,0.005089632310206793,0.0012745382024873589,0.0
Heating,,0.0,0.005342444834735,0.004990913040389976,0.0008740085458030194,0.00029042835114029427
BsmtFinType2,,0.0,0.00551203702159,0.0033457985276576286,0.00051423150052268,0.000159868652309355
GarageType,,0.0,0.003586859797644,0.0004946405483188969,0.0021889980019837055,0.0004238653785169665
YrSold,,0.0,0.003707855621808,0.003241695816853721,0.0017800250356012112,0.0020202516089148394
MoSold,,0.0,0.002539063161616,0.0014935834041665738,0.0032150352502870786,0.0015278598171396154
MiscVal,,0.0,0.000113110569778,0.00031014329040141334,0.00018677121567651678,2.8909457724993532e-05
Fence,,0.0,0.000217438787528,5.674596181846577e-05,0.0007828612368319356,0.0006535450751795665
PoolArea,,0.0,0.000908246386253,0.0013978207805807647,7.764842502492224e-05,0.0005721582881727767
ScreenPorch,,0.0,0.0118819163599,0.011158026850669267,0.0004813055866811257,0.001594247070973917
3SsnPorch,,0.0,0.005886734821437,0.005715418059039709,0.00014628507385534302,0.0005792702207771817
EnclosedPorch,,0.0,0.010135255943278,0.009082049549881831,0.0010251435572903535,0.0010273510181726482
OpenPorchSF,,0.0,0.005970868504609,0.006837435592158653,0.005405281221997328,0.00522000264917927
PavedDrive,,0.0,0.000506491961237,0.001891091703455656,0.0008121442223512263,0.00027214393138872117
GarageCond,,0.0,0.001415366097142,0.004740040815873768,0.0027734716772780054,0.00011217045848127683
GarageYrBlt,,0.0,0.001581861942654,0.0022105275977972816,0.009566679651554805,0.0035327317049183887
TotRmsAbvGrd,,0.0,0.013618693491179,0.019777691120441643,0.007212053179087975,0.0010495178593355682
BsmtFinSF2,,0.0,0.019718101647958,0.00813532687922325,0.0005378621199225059,0.000607499254983542
KitchenAbvGr,,0.0,0.005664070381532,0.006471519699186177,0.0009509402291407574,0.0006199813385985599
BedroomAbvGr,,0.0,0.001195892350526,0.0018785397806969537,0.0029129947952969215,0.0009778811410577823
HalfBath,,0.0,0.005524804670292,0.00960778079960752,0.0013783025539542712,0.0004369169539675745
FullBath,,0.0,0.002494039231732,0.010182759569833402,0.005410466559139141,0.0005495865144010046
BsmtHalfBath,,0.0,0.000239669948617,0.0008290303381033471,0.00022709511921124032,0.0
LowQualFinSF,,0.0,0.008011977504098,0.004504592287976111,0.00011364947185254759,2.324548054747285e-05
2ndFlrSF,,0.0,0.070206333886707,0.032013610877054184,0.010859306826463895,0.004581732680048551
1stFlrSF,,0.0,0.071650008077625,0.04044101305444152,0.029428557238901327,0.020349317891846266
Electrical,,0.0,0.004964449084926,0.0037985230750234088,0.0006427186738657182,0.0004399156574454268
SaleType,,0.0,0.005225874034821,0.001796193825347627,0.0009470673941513745,0.004060993703925879
BsmtUnfSF,,0.0,0.022135122904322,0.0027780020901090633,0.005861614449546088,0.004201863413604671
MSSubClass,,0.0,0.008945824678597,0.006426852704288616,0.0025764359783423236,0.0002564149560557866
